FID,AFFGEOID,TRACTCE,ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV,M_POV,E_UNEMP,M_UNEMP,E_PCI,M_PCI,E_NOHSDP,M_NOHSDP,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_MINRTY,M_MINRTY,E_LIMENG,M_LIMENG,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV,MP_POV,EP_UNEMP,MP_UNEMP,EP_PCI,MP_PCI,EP_NOHSDP,MP_NOHSDP,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_MINRTY,MP_MINRTY,EP_LIMENG,MP_LIMENG,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV,EPL_UNEMP,EPL_PCI,EPL_NOHSDP,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,SPL_THEME2,RPL_THEME2,EPL_MINRTY,EPL_LIMENG,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV,F_UNEMP,F_PCI,F_NOHSDP,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_THEME2,F_MINRTY,F_LIMENG,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_UNINSUR,M_UNINSUR,EP_UNINSUR,MP_UNINSUR,E_DAYPOP
-1,1400000US42101980100,980100,42, Pennsylvania,PA,42101, Philadelphia,42101980100,"Census Tract 9801, Philadelphia County, Pennsylvania",2.11450729,61,30,39,18,39,18,0,10,0,10,59292,26364,0,10,16,16,0,10,13,16,0,14.1,4,42.4,0,40,8,13.5,0,10,0,14.1,7,8,0,10,0,32.3,0,38.3,59292,26364,0,36.2,26.2,23.5,0,16.4,21.3,21.8,0,36.3,6.6,69.5,0,65.6,20.5,33.2,0,41.6,0,36.3,17.9,24.8,0,16.4,0,0,0.0263,0,0.0263,0.0003,0.9481,0,0.9145,0,1.8626,0.4011,0.352,0,0.352,0.139,0.8853,0,0,0.7826,0,1.6679,0.2127,3.9087,0.051,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,2,0,10,0,32.3,355
-1,1400000US42003980000,980000,42, Pennsylvania,PA,42003, Allegheny,42003980000,"Census Tract 9800, Allegheny County, Pennsylvania",0.24607207,164,51,113,28,109,30,0,10,0,10,86823,36871,0,10,8,9,8,9,18,19,0,14.1,31,69.4,0,40,54,20.6,0,10,8,16.4,18,15,0,10,0,14.1,0,17.8,86823,36871,0,15.1,4.9,6.4,4.9,5.3,11,10.8,0,13,18.9,41.9,0,25.6,47.8,13.9,0,19.7,7.3,14.9,16.5,13.5,0,6.1,0,0,0.0044,0,0.0044,0,0.0264,0.0236,0.3053,0,0.3554,0.0208,0.6626,0,0.6626,0.3262,0.9773,0,0.9841,0.7587,0,2.7201,0.6891,3.7426,0.0382,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,2,16,27,9.8,15.2,5063
-1,1400000US42041011602,11602,42, Pennsylvania,PA,42041, Cumberland,42041011602,"Census Tract 116.02, Cumberland County, Pennsylvania",3.53380898,3715,171,1406,58,1340,62,8,13,58,33,47882,5787,58,35,547,55,896,104,247,83,31,24.7,161,270,10,41.9,0,14.1,6,9,0,14.1,0,10,0,10,0.2,0.3,3.1,1.7,47882,5787,2.2,1.3,14.7,1.4,24.1,2.6,6.6,2.2,2.3,1.8,4.3,7.3,0.3,1.2,0,1,0.4,0.7,0,1.1,0,1.8,0,0.3,0.0096,0.0581,0.0688,0.0575,0.1941,0.0081,0.3961,0.7407,0.0703,0.084,1.291,0.1185,0.2463,0.3669,0.6132,0.291,0,0.4801,0,0,0,0.4801,0.0205,2.5785,0.0031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,50,2.3,1.4,4107
-1,1400000US42003474201,474201,42, Pennsylvania,PA,42003, Allegheny,42003474201,"Census Tract 4742.01, Allegheny County, Pennsylvania",1.27515359,2522,148,927,34,901,35,6,8,97,37,52574,5584,12,16,459,88,679,89,144,45,8,8.5,161,224.6,0,40,10,18.9,34,43,0,14.1,0,10,1,3,0.2,0.3,8.3,3,52574,5584,0.7,0.9,18.2,3.6,26.9,3.2,5.7,1.8,0.9,0.9,6.4,8.9,0,1.7,1.1,2,3.7,4.7,0,1.6,0,2.7,0,0.1,0.0096,0.5703,0.0454,0.0155,0.6408,0.0876,0.6629,0.8722,0.051,0.0339,1.62,0.26,0.3461,0,0.3461,0.1359,0.3371,0.7292,0,0,0.2491,1.3153,0.1222,3.9222,0.0526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,35,2.2,1.3,1187
-1,1400000US42019912301,912301,42, Pennsylvania,PA,42019, Butler,42019912301,"Census Tract 9123.01, Butler County, Pennsylvania",6.56410852,6027,290,1913,87,1913,87,10,15,187,90,53197,5552,37,30,375,39,1918,159,244,100,73,63.1,370,421.6,19,60.4,79,64.6,17,28,43,40.5,11,17,0,15,0.2,0.3,5.8,2.7,53197,5552,1,0.8,6.2,0.7,31.8,2.1,4.1,1.7,3.8,3.3,6.1,7,0.3,1.1,4.1,3.4,0.9,1.5,2.2,2.1,0.6,0.9,0,0.2,0.0096,0.2954,0.0432,0.0224,0.3706,0.0332,0.0442,0.9618,0.0215,0.1887,1.2161,0.097,0.333,0.4039,0.7369,0.3635,0.5407,0.5749,0.815,0.0361,0,1.9667,0.3231,4.2904,0.0785,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,444,277,7.4,4.5,3577
-1,1400000US42091201408,201408,42, Pennsylvania,PA,42091, Montgomery,42091201408,"Census Tract 2014.08, Montgomery County, Pennsylvania",2.36217551,4495,172,1553,35,1543,35,10,14,154,61,69499,9560,29,22,592,58,1084,70,235,72,67,53,633,241.1,91,61.5,43,39.6,0,10,0,14.1,12,16,1,2,0.2,0.3,6.1,2.5,69499,9560,1,0.7,13.2,1.3,24.1,1.3,5.2,1.6,4.3,3.4,14.1,5.3,2.1,1.4,2.8,2.5,0,1.6,0,0.9,0.8,1,0,0,0.0096,0.329,0.0113,0.0224,0.3723,0.0338,0.2917,0.74,0.041,0.2385,1.3113,0.1241,0.578,0.7942,1.3722,0.7332,0.4683,0,0,0.0479,0.2139,0.7301,0.0376,3.7858,0.0404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,47,1.2,1.1,4020
-1,1400000US42091201005,201005,42, Pennsylvania,PA,42091, Montgomery,42091201005,"Census Tract 2010.05, Montgomery County, Pennsylvania",2.11152234,3213,145,1145,62,1145,62,11,16,143,58,46159,3324,40,47,482,62,804,78,151,62,9,17.2,273,238.2,13,43.6,10,18,0,10,0,14.1,10,15,7,14,0.3,0.5,8,3,46159,3324,1.8,2.1,15,1.7,25,2.1,4.7,1.9,0.8,1.5,8.5,7.4,0.4,1.4,0.9,1.6,0,2.2,0,1.2,0.9,1.3,0.2,0.4,0.0109,0.537,0.081,0.0445,0.6734,0.0957,0.4157,0.7966,0.0311,0.0314,1.2749,0.1144,0.4297,0.4465,0.8762,0.4381,0.3212,0,0,0.0544,0.4325,0.8081,0.0445,3.6327,0.0316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,50,1.9,1.5,4369
-1,1400000US42045409400,409400,42, Pennsylvania,PA,42045, Delaware,42045409400,"Census Tract 4094, Delaware County, Pennsylvania",0.46172085,3044,140,1028,38,999,50,13,12,108,51,34816,2792,138,58,583,84,603,28,218,75,19,24.2,257,230.4,56,59.4,83,40.8,3,6,0,14.1,31,25,145,99,0.4,0.4,6.3,3,34816,2792,6.4,2.7,19.2,2.3,19.8,0.1,7.5,2.5,1.9,2.4,8.4,7.6,2,2.1,8.1,4,0.3,0.6,0,1.4,3.1,2.5,4.8,3.2,0.0112,0.347,0.2106,0.2718,0.8406,0.1386,0.7301,0.3927,0.1048,0.0669,1.2945,0.1206,0.4269,0.7739,1.2009,0.6337,0.6881,0.4695,0,0.2065,0.8703,2.2345,0.4465,5.5703,0.2212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,58,4.8,2,1693
-1,1400000US42077005505,5505,42, Pennsylvania,PA,42077, Lehigh,42077005505,"Census Tract 55.05, Lehigh County, Pennsylvania",2.84729028,3163,175,1353,45,1292,73,12,16,187,86,37444,4417,195,92,467,128,581,77,292,99,52,43.2,52,258.3,18,47.8,0,14.1,8,13,0,14.1,23,25,4,9,0.4,0.5,9.8,4.4,37444,4417,8.4,3.8,14.8,4.1,18.4,2.2,9.2,3.1,4,3.3,1.6,8.2,0.6,1.5,0,1,0.6,1,0,1.1,1.8,2,0.1,0.3,0.0112,0.6922,0.1646,0.4049,1.2728,0.2666,0.4049,0.2758,0.1906,0.2065,1.0777,0.0675,0.0706,0.5025,0.5731,0.2671,0,0.5258,0,0.111,0.3427,0.9795,0.0659,3.9031,0.0504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232,158,7.3,4.9,1676
-1,1400000US42017105013,105013,42, Pennsylvania,PA,42017, Bucks,42017105013,"Census Tract 1050.13, Bucks County, Pennsylvania",2.79541786,5890,268,1945,43,1885,56,26,42,357,159,48178,4565,46,33,857,56,1509,126,536,116,59,37.5,521,392.7,9,60,0,21.2,0,15,0,21.2,33,31,0,15,0.4,0.7,11,4.6,48178,4565,1.2,0.9,14.6,1.2,25.6,1.8,9.1,2,3.1,2,8.8,6.7,0.2,1.1,0,1.1,0,1.3,0,1.1,1.8,1.6,0,0.3,0.0112,0.7537,0.0673,0.0274,0.8596,0.1458,0.3871,0.8231,0.1853,0.1334,1.5289,0.2133,0.4394,0.2851,0.7245,0.3554,0,0,0,0.111,0,0.111,0.01,3.224,0.0141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,126,2.7,2.2,4168
-1,1400000US42017105010,105010,42, Pennsylvania,PA,42017, Bucks,42017105010,"Census Tract 1050.10, Bucks County, Pennsylvania",1.20278456,4070,193,1540,37,1540,37,22,24,186,79,43765,5305,51,36,576,56,882,127,297,102,162,82,240,292.7,37,50.9,7,15.6,13,20,0,14.1,17,19,0,10,0.5,0.6,7.6,3.3,43765,5305,1.8,1.2,14.2,1.5,21.7,2.9,7.3,2.5,10.5,5.3,5.9,7.2,1,1.3,0.5,1,0.8,1.3,0,0.9,1.1,1.2,0,0.2,0.0121,0.4944,0.0989,0.0445,0.6499,0.0898,0.3629,0.5687,0.097,0.7183,1.7469,0.3333,0.3172,0.62,0.9372,0.4798,0.2699,0.5637,0,0.0675,0,0.9011,0.0557,4.2351,0.0748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233,141,5.7,3.5,3211
-1,1400000US42077006204,6204,42, Pennsylvania,PA,42077, Lehigh,42077006204,"Census Tract 62.04, Lehigh County, Pennsylvania",7.83808643,4073,258,1481,66,1435,74,20,24,74,54,47282,4400,112,71,536,93,1027,123,204,128,29,36.4,588,391.9,19,44.9,0,14.1,0,10,24,41.2,13,23,18,11,0.5,0.6,3.3,2.4,47282,4400,4,2.5,13.2,2.2,25.2,2.6,5,3.2,2,2.5,14.4,9.6,0.5,1.2,0,1,0,1.7,1.7,2.9,0.9,1.6,0.4,0.3,0.0121,0.0672,0.0735,0.1322,0.285,0.02,0.2917,0.8057,0.0367,0.0721,1.2062,0.0933,0.5846,0.4726,1.0572,0.5644,0,0,0.7376,0.0544,0.5404,1.3324,0.1262,3.8807,0.0485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,57,1.3,1.4,20697
-1,1400000US42017100809,100809,42, Pennsylvania,PA,42017, Bucks,42017100809,"Census Tract 1008.09, Bucks County, Pennsylvania",3.01902227,5772,309,2254,72,2136,115,27,25,233,109,59782,10278,98,68,866,117,1087,169,301,118,30,31.9,730,479.8,69,102.8,463,139.4,0,15,17,30.9,30,39,27,31,0.5,0.4,6.8,3,59782,10278,2.4,1.7,15,2,18.8,2.7,5.2,2,1.4,1.5,12.6,8.3,1.2,1.8,20.5,6.2,0,1.1,0.8,1.4,1.4,1.8,0.5,0.5,0.0121,0.4027,0.0253,0.0669,0.507,0.056,0.4157,0.3094,0.041,0.0476,0.8137,0.0445,0.5448,0.685,1.2298,0.6514,0.8859,0,0.532,0.084,0.5485,2.0504,0.3548,4.6009,0.1042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,216,4.4,3.7,4970
-1,1400000US42029302802,302802,42, Pennsylvania,PA,42029, Chester,42029302802,"Census Tract 3028.02, Chester County, Pennsylvania",3.90706382,4951,184,1995,58,1907,77,23,25,69,48,61141,8411,94,74,1386,125,1019,99,462,167,12,18,57,260.2,0,40,173,77.6,0,10,0,14.1,117,75,8,14,0.5,0.5,2.9,1.9,61141,8411,2.5,1.9,28,2.3,20.6,1.8,9.3,3.3,0.6,0.9,1.2,5.3,0,0.8,8.7,3.9,0,1.2,0,0.7,6.1,3.9,0.2,0.3,0.0121,0.0479,0.0232,0.0687,0.1519,0.0038,0.9655,0.4664,0.1981,0.0274,1.6573,0.278,0.0432,0,0.0432,0.0255,0.7043,0,0,0.4359,0.3825,1.5227,0.1738,3.3751,0.0194,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,78,81,1.6,1.6,8798
-1,1400000US42017105505,105505,42, Pennsylvania,PA,42017, Bucks,42017105505,"Census Tract 1055.05, Bucks County, Pennsylvania",1.97528084,3947,245,1527,41,1475,71,22,25,97,59,66812,9806,33,38,652,77,1012,130,192,61,96,66.5,325,346.5,0,40,90,62,0,10,0,14.1,20,22,4,5,0.6,0.6,4.6,2.8,66812,9806,1.2,1.3,16.5,1.9,25.6,2.9,4.9,1.6,6.5,4.5,8.2,8.8,0,1.1,5.9,4.1,0,1.6,0,1,1.4,1.5,0.1,0.1,0.0134,0.1642,0.0135,0.0274,0.2184,0.0116,0.5218,0.824,0.0361,0.4524,1.8343,0.3818,0.4198,0,0.4198,0.1779,0.6147,0,0,0.084,0.3165,1.0152,0.0731,3.4876,0.0253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,30,0.9,0.8,1226
-1,1400000US42101023100,23100,42, Pennsylvania,PA,42101, Philadelphia,42101023100,"Census Tract 231, Philadelphia County, Pennsylvania",0.28293593,1269,111,556,14,529,28,7,9,4,7,83788,21897,31,35,199,35,329,56,54,37,5,12.8,82,177.1,22,50.2,0,14.1,3,6,0,14.1,24,20,0,10,0.6,0.7,0.6,1,83788,21897,3.4,3.8,15.7,2.8,25.9,3.8,4.3,3,0.9,2.4,6.5,13.9,1.8,4.2,0,2.5,0.5,1.1,0,2.7,4.5,3.8,0,0.8,0.0134,0.0093,0.0056,0.1067,0.135,0.0028,0.4664,0.8358,0.0252,0.0358,1.3632,0.1412,0.3492,0.76,1.1091,0.5861,0,0.4997,0,0.3197,0,0.8193,0.046,3.4267,0.0232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,22,1.6,1.7,1036
-1,1400000US42101034702,34702,42, Pennsylvania,PA,42101, Philadelphia,42101034702,"Census Tract 347.02, Philadelphia County, Pennsylvania",0.39235917,4132,325,1447,20,1437,28,28,28,196,81,30117,3032,247,110,714,113,913,212,442,140,39,39.3,824,535.8,157,121.5,100,66.6,0,10,19,26.8,76,48,79,128,0.7,0.7,8.8,3.5,30117,3032,8.3,3.6,17.3,2.5,22.1,4.8,10.9,3.3,2.7,2.7,19.9,12.9,4,3.1,6.9,4.6,0,1.7,1.3,1.9,5.3,3.3,1.9,3.1,0.014,0.6154,0.336,0.3983,1.3637,0.2957,0.5886,0.5986,0.2991,0.1073,1.5936,0.2422,0.6763,0.8881,1.5644,0.8265,0.6461,0,0.6651,0.3778,0.7422,2.4313,0.5476,6.953,0.4618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,435,269,10.7,6.1,2966
-1,1400000US42011012105,12105,42, Pennsylvania,PA,42011, Berks,42011012105,"Census Tract 121.05, Berks County, Pennsylvania",3.8309554,8576,329,2949,110,2949,110,64,47,312,132,40133,4199,302,122,1335,166,2276,213,523,196,116,93.9,839,572.1,29,62.4,0,21.2,120,49,0,21.2,75,55,326,156,0.8,0.6,6.3,2.7,40133,4199,5.1,2,15.6,1.8,26.5,2.3,6.3,2.4,3.9,3.2,9.8,6.7,0.4,0.8,0,0.7,4.1,1.7,0,0.7,2.5,1.8,3.8,1.8,0.0143,0.347,0.1317,0.1922,0.6852,0.0995,0.4583,0.8567,0.0628,0.199,1.5768,0.2376,0.467,0.4145,0.8815,0.4419,0,0.7394,0,0.1614,0.8396,1.7404,0.2329,4.8839,0.1298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,370,220,4.5,2.7,9924
