measure,year,county_name,numerator,denominator,rate,rate_lower,rate_upper
Population,2019,Perry,46272,NA,NA,NA,NA
Population,2019,Philadelphia,1584064,NA,NA,NA,NA
Population,2019,Pike,55809,NA,NA,NA,NA
Population,2019,Potter,16526,NA,NA,NA,NA
Population,2019,Schuylkill,141359,NA,NA,NA,NA
Population,2019,Snyder,40372,NA,NA,NA,NA
Population,2019,Somerset,73447,NA,NA,NA,NA
Population,2019,Sullivan,6066,NA,NA,NA,NA
Population,2019,Susquehanna,40328,NA,NA,NA,NA
Population,2019,Tioga,40591,NA,NA,NA,NA
Population,2019,Union,44923,NA,NA,NA,NA
Population,2019,Venango,50668,NA,NA,NA,NA
Population,2019,Warren,39191,NA,NA,NA,NA
Population,2019,Washington,206865,NA,NA,NA,NA
Population,2019,Wayne,51361,NA,NA,NA,NA
Population,2019,Westmoreland,348899,NA,NA,NA,NA
Population,2019,Wyoming,26794,NA,NA,NA,NA
Population,2019,York,449058,NA,NA,NA,NA
Population,2019,Pennsylvania,12801989,NA,NA,NA,NA
Population per square mile,2019,Adams,103009,518.67,198.6,197.4,199.8
Population per square mile,2019,Allegheny,1216045,730.07,1665.7,1662.7,1668.6
Population per square mile,2019,Armstrong,64735,653.2,99.1,98.3,99.9
Population per square mile,2019,Beaver,163929,434.71,377.1,375.3,378.9
Population per square mile,2019,Bedford,47888,1012.3,47.3,46.9,47.7
Population per square mile,2019,Berks,421164,856.51,491.7,490.2,493.2
Population per square mile,2019,Blair,121829,525.8,231.7,230.4,233
Population per square mile,2019,Bradford,60323,1147.4,52.6,52.2,53
Population per square mile,2019,Bucks,628270,604.31,1039.6,1037.1,1042.2
Population per square mile,2019,Butler,187853,788.6,238.2,237.1,239.3
Population per square mile,2019,Cambria,130192,688.35,189.1,188.1,190.2
Population per square mile,2019,Cameron,4447,396.23,11.2,10.9,11.6
Population per square mile,2019,Carbon,64182,381.46,168.3,167,169.6
Population per square mile,2019,Centre,162385,1109.92,146.3,145.6,147
Population per square mile,2019,Chester,524989,750.51,699.5,697.6,701.4
Population per square mile,2019,Clarion,38438,600.83,64,63.3,64.6
Population per square mile,2019,Clearfield,79255,1144.72,69.2,68.8,69.7
Population per square mile,2019,Clinton,38632,887.98,43.5,43.1,43.9
Population per square mile,2019,Columbia,64964,483.11,134.5,133.4,135.5
Population per square mile,2019,Crawford,84629,1012.3,83.6,83,84.2
Population per square mile,2019,Cumberland,253370,545.46,464.5,462.7,466.3
Population per square mile,2019,Dauphin,278299,525.05,530,528.1,532
Population per square mile,2019,Delaware,566747,183.84,3082.8,3074.8,3090.9
Population per square mile,2019,Elk,29910,827.36,36.2,35.7,36.6
Population per square mile,2019,Erie,269728,799.15,337.5,336.2,338.8
Population per square mile,2019,Fayette,129274,790.34,163.6,162.7,164.5
Population per square mile,2019,Forest,7247,427.19,17,16.6,17.4
Population per square mile,2019,Franklin,155027,772.22,200.8,199.8,201.8
Population per square mile,2019,Fulton,14530,437.55,33.2,32.7,33.7
Population per square mile,2019,Greene,36233,575.95,62.9,62.3,63.6
Population per square mile,2019,Huntingdon,45144,874.64,51.6,51.1,52.1
Population per square mile,2019,Indiana,84073,827.03,101.7,101,102.3
Population per square mile,2019,Jefferson,43425,652.43,66.6,65.9,67.2
Population per square mile,2019,Juniata,24763,391.35,63.3,62.5,64.1
Population per square mile,2019,Lackawanna,209674,459.08,456.7,454.8,458.7
Population per square mile,2019,Lancaster,545724,943.81,578.2,576.7,579.7
Population per square mile,2019,Lawrence,85512,358.18,238.7,237.1,240.3
Population per square mile,2019,Lebanon,141793,361.83,391.9,389.8,393.9
Population per square mile,2019,Lehigh,369318,345.17,1070,1066.5,1073.4
Population per square mile,2019,Luzerne,317417,890.33,356.5,355.3,357.8
Population per square mile,2019,Lycoming,113299,1228.59,92.2,91.7,92.8
Population per square mile,2019,McKean,40625,979.2,41.5,41.1,41.9
Population per square mile,2019,Mercer,109424,672.57,162.7,161.7,163.7
Population per square mile,2019,Mifflin,46138,411.03,112.2,111.2,113.3
Population per square mile,2019,Monroe,170271,608.29,279.9,278.6,281.2
Population per square mile,2019,Montgomery,830915,483.04,1720.2,1716.5,1723.9
Population per square mile,2019,Montour,18230,130.24,140,137.9,142
Population per square mile,2019,Northampton,305285,369.67,825.8,822.9,828.8
Population per square mile,2019,Northumberland,90843,458.37,198.2,196.9,199.5
Population per square mile,2019,Perry,46272,551.45,83.9,83.1,84.7
Population per square mile,2019,Philadelphia,1584064,134.1,11812.6,11794.2,11831
Population per square mile,2019,Pike,55809,544.96,102.4,101.6,103.3
Population per square mile,2019,Potter,16526,1081.32,15.3,15.1,15.5
Population per square mile,2019,Schuylkill,141359,778.63,181.5,180.6,182.5
Population per square mile,2019,Snyder,40372,328.71,122.8,121.6,124
Population per square mile,2019,Somerset,73447,1074.37,68.4,67.9,68.9
Population per square mile,2019,Sullivan,6066,449.94,13.5,13.1,13.8
Population per square mile,2019,Susquehanna,40328,823.43,49,48.5,49.5
Population per square mile,2019,Tioga,40591,1133.79,35.8,35.5,36.1
Population per square mile,2019,Union,44923,315.98,142.2,140.9,143.5
Population per square mile,2019,Venango,50668,674.28,75.1,74.5,75.8
Population per square mile,2019,Warren,39191,884.13,44.3,43.9,44.8
Population per square mile,2019,Washington,206865,856.99,241.4,240.3,242.4
Population per square mile,2019,Wayne,51361,725.6,70.8,70.2,71.4
Population per square mile,2019,Westmoreland,348899,1027.55,339.5,338.4,340.7
Population per square mile,2019,Wyoming,26794,397.32,67.4,66.6,68.2
Population per square mile,2019,York,449058,904.18,496.6,495.2,498.1
Population per square mile,2019,Pennsylvania,12801989,44742.7,286.1,286,286.3
Population percent change since 2010,2019,Adams,1602,101407,1.6,NA,NA
Population percent change since 2010,2019,Allegheny,-7303,1223348,-0.6,NA,NA
Population percent change since 2010,2019,Armstrong,-4206,68941,-6.1,NA,NA
Population percent change since 2010,2019,Beaver,-6610,170539,-3.9,NA,NA
Population percent change since 2010,2019,Bedford,-1874,49762,-3.8,NA,NA
Population percent change since 2010,2019,Berks,9722,411442,2.4,NA,NA
Population percent change since 2010,2019,Blair,-5260,127089,-4.1,NA,NA
Population percent change since 2010,2019,Bradford,-2299,62622,-3.7,NA,NA
Population percent change since 2010,2019,Bucks,3021,625249,0.5,NA,NA
Population percent change since 2010,2019,Butler,3991,183862,2.2,NA,NA
Population percent change since 2010,2019,Cambria,-13487,143679,-9.4,NA,NA
Population percent change since 2010,2019,Cameron,-638,5085,-12.5,NA,NA
Population percent change since 2010,2019,Carbon,-1067,65249,-1.6,NA,NA
Population percent change since 2010,2019,Centre,8395,153990,5.5,NA,NA
Population percent change since 2010,2019,Chester,26103,498886,5.2,NA,NA
Population percent change since 2010,2019,Clarion,-1550,39988,-3.9,NA,NA
Population percent change since 2010,2019,Clearfield,-2387,81642,-2.9,NA,NA
Population percent change since 2010,2019,Clinton,-606,39238,-1.5,NA,NA
Population percent change since 2010,2019,Columbia,-2331,67295,-3.5,NA,NA
Population percent change since 2010,2019,Crawford,-4136,88765,-4.7,NA,NA
Population percent change since 2010,2019,Cumberland,17964,235406,7.6,NA,NA
Population percent change since 2010,2019,Dauphin,10199,268100,3.8,NA,NA
Population percent change since 2010,2019,Delaware,7768,558979,1.4,NA,NA
Population percent change since 2010,2019,Elk,-2036,31946,-6.4,NA,NA
Population percent change since 2010,2019,Erie,-10838,280566,-3.9,NA,NA
Population percent change since 2010,2019,Fayette,-7332,136606,-5.4,NA,NA
Population percent change since 2010,2019,Forest,-469,7716,-6.1,NA,NA
Population percent change since 2010,2019,Franklin,5409,149618,3.6,NA,NA
Population percent change since 2010,2019,Fulton,-315,14845,-2.1,NA,NA
Population percent change since 2010,2019,Greene,-2453,38686,-6.3,NA,NA
Population percent change since 2010,2019,Huntingdon,-769,45913,-1.7,NA,NA
Population percent change since 2010,2019,Indiana,-4807,88880,-5.4,NA,NA
Population percent change since 2010,2019,Jefferson,-1775,45200,-3.9,NA,NA
Population percent change since 2010,2019,Juniata,127,24636,0.5,NA,NA
Population percent change since 2010,2019,Lackawanna,-4763,214437,-2.2,NA,NA
Population percent change since 2010,2019,Lancaster,26279,519445,5.1,NA,NA
Population percent change since 2010,2019,Lawrence,-5596,91108,-6.1,NA,NA
Population percent change since 2010,2019,Lebanon,8225,133568,6.2,NA,NA
Population percent change since 2010,2019,Lehigh,19821,349497,5.7,NA,NA
Population percent change since 2010,2019,Luzerne,-3501,320918,-1.1,NA,NA
Population percent change since 2010,2019,Lycoming,-2812,116111,-2.4,NA,NA
Population percent change since 2010,2019,McKean,-2825,43450,-6.5,NA,NA
Population percent change since 2010,2019,Mercer,-7214,116638,-6.2,NA,NA
Population percent change since 2010,2019,Mifflin,-544,46682,-1.2,NA,NA
Population percent change since 2010,2019,Monroe,429,169842,0.3,NA,NA
Population percent change since 2010,2019,Montgomery,31041,799874,3.9,NA,NA
Population percent change since 2010,2019,Montour,-37,18267,-0.2,NA,NA
Population percent change since 2010,2019,Northampton,7550,297735,2.5,NA,NA
Population percent change since 2010,2019,Northumberland,-3685,94528,-3.9,NA,NA
Population percent change since 2010,2019,Perry,303,45969,0.7,NA,NA
Population percent change since 2010,2019,Philadelphia,58058,1526006,3.8,NA,NA
Population percent change since 2010,2019,Pike,-1560,57369,-2.7,NA,NA
Population percent change since 2010,2019,Potter,-931,17457,-5.3,NA,NA
Population percent change since 2010,2019,Schuylkill,-6930,148289,-4.7,NA,NA
Population percent change since 2010,2019,Snyder,670,39702,1.7,NA,NA
Population percent change since 2010,2019,Somerset,-4295,77742,-5.5,NA,NA
Population percent change since 2010,2019,Sullivan,-362,6428,-5.6,NA,NA
Population percent change since 2010,2019,Susquehanna,-3028,43356,-7,NA,NA
Population percent change since 2010,2019,Tioga,-1390,41981,-3.3,NA,NA
Population percent change since 2010,2019,Union,-24,44947,-0.1,NA,NA
Population percent change since 2010,2019,Venango,-4316,54984,-7.8,NA,NA
Population percent change since 2010,2019,Warren,-2624,41815,-6.3,NA,NA
Population percent change since 2010,2019,Washington,-955,207820,-0.5,NA,NA
Population percent change since 2010,2019,Wayne,-1461,52822,-2.8,NA,NA
Population percent change since 2010,2019,Westmoreland,-16270,365169,-4.5,NA,NA
Population percent change since 2010,2019,Wyoming,-1482,28276,-5.2,NA,NA
Population percent change since 2010,2019,York,14086,434972,3.2,NA,NA
Population percent change since 2010,2019,Pennsylvania,99610,12702379,0.8,NA,NA
Percent aged under 18,2019,Adams,20490,103009,19.9,19.6,20.2
Percent aged under 18,2019,Allegheny,228060,1216045,18.8,18.7,18.8
Percent aged under 18,2019,Armstrong,12290,64735,19,18.6,19.3
Percent aged under 18,2019,Beaver,31365,163929,19.1,18.9,19.3
Percent aged under 18,2019,Bedford,9195,47888,19.2,18.8,19.6
Percent aged under 18,2019,Berks,93767,421164,22.3,22.1,22.4
Percent aged under 18,2019,Blair,24652,121829,20.2,20,20.5
Percent aged under 18,2019,Bradford,13131,60323,21.8,21.4,22.1
Percent aged under 18,2019,Bucks,126613,628270,20.2,20,20.3
Percent aged under 18,2019,Butler,37132,187853,19.8,19.6,20
Percent aged under 18,2019,Cambria,24814,130192,19.1,18.8,19.3
Percent aged under 18,2019,Cameron,770,4447,17.3,16.1,18.5
Percent aged under 18,2019,Carbon,12293,64182,19.2,18.8,19.5
Percent aged under 18,2019,Centre,23841,162385,14.7,14.5,14.9
Percent aged under 18,2019,Chester,117973,524989,22.5,22.3,22.6
Percent aged under 18,2019,Clarion,7327,38438,19.1,18.6,19.5
Percent aged under 18,2019,Clearfield,14245,79255,18,17.7,18.3
Percent aged under 18,2019,Clinton,7540,38632,19.5,19.1,20
Percent aged under 18,2019,Columbia,11113,64964,17.1,16.8,17.4
Percent aged under 18,2019,Crawford,17308,84629,20.5,20.1,20.8
Percent aged under 18,2019,Cumberland,51136,253370,20.2,20,20.4
Percent aged under 18,2019,Dauphin,62020,278299,22.3,22.1,22.5
Percent aged under 18,2019,Delaware,125192,566747,22.1,22,22.2
Percent aged under 18,2019,Elk,5744,29910,19.2,18.7,19.7
Percent aged under 18,2019,Erie,56857,269728,21.1,20.9,21.3
Percent aged under 18,2019,Fayette,24451,129274,18.9,18.7,19.2
Percent aged under 18,2019,Forest,740,7247,10.2,9.5,10.9
Percent aged under 18,2019,Franklin,34277,155027,22.1,21.9,22.3
Percent aged under 18,2019,Fulton,2839,14530,19.5,18.8,20.3
Percent aged under 18,2019,Greene,7083,36233,19.5,19.1,20
Percent aged under 18,2019,Huntingdon,7947,45144,17.6,17.2,18
Percent aged under 18,2019,Indiana,14784,84073,17.6,17.3,17.9
Percent aged under 18,2019,Jefferson,9164,43425,21.1,20.7,21.5
Percent aged under 18,2019,Juniata,5481,24763,22.1,21.5,22.7
Percent aged under 18,2019,Lackawanna,43122,209674,20.6,20.4,20.8
Percent aged under 18,2019,Lancaster,127853,545724,23.4,23.3,23.6
Percent aged under 18,2019,Lawrence,16946,85512,19.8,19.5,20.1
Percent aged under 18,2019,Lebanon,32042,141793,22.6,22.4,22.8
Percent aged under 18,2019,Lehigh,83140,369318,22.5,22.4,22.7
Percent aged under 18,2019,Luzerne,62735,317417,19.8,19.6,19.9
Percent aged under 18,2019,Lycoming,23042,113299,20.3,20.1,20.6
Percent aged under 18,2019,McKean,8101,40625,19.9,19.5,20.4
Percent aged under 18,2019,Mercer,20924,109424,19.1,18.9,19.4
Percent aged under 18,2019,Mifflin,10290,46138,22.3,21.9,22.7
Percent aged under 18,2019,Monroe,33355,170271,19.6,19.4,19.8
Percent aged under 18,2019,Montgomery,177432,830915,21.4,21.3,21.5
Percent aged under 18,2019,Montour,3684,18230,20.2,19.6,20.9
Percent aged under 18,2019,Northampton,60383,305285,19.8,19.6,19.9
Percent aged under 18,2019,Northumberland,17544,90843,19.3,19,19.6
Percent aged under 18,2019,Perry,9925,46272,21.4,21,21.9
Percent aged under 18,2019,Philadelphia,341496,1584064,21.6,21.5,21.6
Percent aged under 18,2019,Pike,9617,55809,17.2,16.9,17.6
Percent aged under 18,2019,Potter,3347,16526,20.3,19.6,20.9
Percent aged under 18,2019,Schuylkill,27783,141359,19.7,19.4,19.9
Percent aged under 18,2019,Snyder,8335,40372,20.6,20.2,21.1
Percent aged under 18,2019,Somerset,13012,73447,17.7,17.4,18
Percent aged under 18,2019,Sullivan,631,6066,10.4,9.6,11.2
Percent aged under 18,2019,Susquehanna,7411,40328,18.4,18,18.8
Percent aged under 18,2019,Tioga,7938,40591,19.6,19.1,20
Percent aged under 18,2019,Union,7959,44923,17.7,17.3,18.1
Percent aged under 18,2019,Venango,9490,50668,18.7,18.4,19.1
Percent aged under 18,2019,Warren,7471,39191,19.1,18.6,19.5
Percent aged under 18,2019,Washington,40234,206865,19.4,19.3,19.6
Percent aged under 18,2019,Wayne,8314,51361,16.2,15.8,16.5
Percent aged under 18,2019,Westmoreland,63192,348899,18.1,18,18.3
Percent aged under 18,2019,Wyoming,5190,26794,19.4,18.8,19.9
Percent aged under 18,2019,York,98281,449058,21.9,21.7,22
Percent aged under 18,2019,Pennsylvania,2631853,12801989,20.6,20.5,20.6
Percent aged 65 and over,2019,Adams,21730,103009,21.1,20.8,21.4
Percent aged 65 and over,2019,Allegheny,235279,1216045,19.3,19.3,19.4
Percent aged 65 and over,2019,Armstrong,14629,64735,22.6,22.2,23
Percent aged 65 and over,2019,Beaver,36098,163929,22,21.8,22.2
Percent aged 65 and over,2019,Bedford,11221,47888,23.4,23,23.9
Percent aged 65 and over,2019,Berks,74119,421164,17.6,17.5,17.7
Percent aged 65 and over,2019,Blair,25935,121829,21.3,21,21.5
Percent aged 65 and over,2019,Bradford,13213,60323,21.9,21.5,22.3
Percent aged 65 and over,2019,Bucks,120789,628270,19.2,19.1,19.3
Percent aged 65 and over,2019,Butler,36469,187853,19.4,19.2,19.6
Percent aged 65 and over,2019,Cambria,30242,130192,23.2,23,23.5
Percent aged 65 and over,2019,Cameron,1248,4447,28.1,26.5,29.6
Percent aged 65 and over,2019,Carbon,13944,64182,21.7,21.4,22.1
Percent aged 65 and over,2019,Centre,24134,162385,14.9,14.7,15
Percent aged 65 and over,2019,Chester,88351,524989,16.8,16.7,16.9
Percent aged 65 and over,2019,Clarion,7796,38438,20.3,19.8,20.7
Percent aged 65 and over,2019,Clearfield,16614,79255,21,20.6,21.3
Percent aged 65 and over,2019,Clinton,7402,38632,19.2,18.7,19.6
Percent aged 65 and over,2019,Columbia,13032,64964,20.1,19.7,20.4
Percent aged 65 and over,2019,Crawford,17963,84629,21.2,20.9,21.5
Percent aged 65 and over,2019,Cumberland,47750,253370,18.8,18.7,19
Percent aged 65 and over,2019,Dauphin,48420,278299,17.4,17.2,17.6
Percent aged 65 and over,2019,Delaware,94994,566747,16.8,16.7,16.9
Percent aged 65 and over,2019,Elk,6737,29910,22.5,22,23.1
Percent aged 65 and over,2019,Erie,50250,269728,18.6,18.5,18.8
Percent aged 65 and over,2019,Fayette,28057,129274,21.7,21.4,22
Percent aged 65 and over,2019,Forest,1651,7247,22.8,21.7,23.9
Percent aged 65 and over,2019,Franklin,31169,155027,20.1,19.9,20.3
Percent aged 65 and over,2019,Fulton,3198,14530,22,21.2,22.8
Percent aged 65 and over,2019,Greene,7014,36233,19.4,18.9,19.8
Percent aged 65 and over,2019,Huntingdon,9639,45144,21.4,20.9,21.8
Percent aged 65 and over,2019,Indiana,16822,84073,20,19.7,20.3
Percent aged 65 and over,2019,Jefferson,9343,43425,21.5,21.1,22
Percent aged 65 and over,2019,Juniata,5113,24763,20.6,20.1,21.2
Percent aged 65 and over,2019,Lackawanna,42622,209674,20.3,20.1,20.5
Percent aged 65 and over,2019,Lancaster,100381,545724,18.4,18.3,18.5
Percent aged 65 and over,2019,Lawrence,19269,85512,22.5,22.2,22.9
Percent aged 65 and over,2019,Lebanon,28173,141793,19.9,19.6,20.1
Percent aged 65 and over,2019,Lehigh,63184,369318,17.1,17,17.2
Percent aged 65 and over,2019,Luzerne,63977,317417,20.2,20,20.3
Percent aged 65 and over,2019,Lycoming,22461,113299,19.8,19.6,20.1
Percent aged 65 and over,2019,McKean,8147,40625,20.1,19.6,20.5
Percent aged 65 and over,2019,Mercer,24323,109424,22.2,21.9,22.5
Percent aged 65 and over,2019,Mifflin,10181,46138,22.1,21.6,22.5
Percent aged 65 and over,2019,Monroe,30347,170271,17.8,17.6,18
Percent aged 65 and over,2019,Montgomery,150974,830915,18.2,18.1,18.3
Percent aged 65 and over,2019,Montour,3923,18230,21.5,20.8,22.2
Percent aged 65 and over,2019,Northampton,59625,305285,19.5,19.4,19.7
Percent aged 65 and over,2019,Northumberland,19806,90843,21.8,21.5,22.1
Percent aged 65 and over,2019,Perry,8806,46272,19,18.6,19.4
Percent aged 65 and over,2019,Philadelphia,221678,1584064,14,13.9,14.1
Percent aged 65 and over,2019,Pike,13111,55809,23.5,23.1,23.9
Percent aged 65 and over,2019,Potter,4043,16526,24.5,23.7,25.2
Percent aged 65 and over,2019,Schuylkill,29322,141359,20.7,20.5,21
Percent aged 65 and over,2019,Snyder,7883,40372,19.5,19.1,20
Percent aged 65 and over,2019,Somerset,16876,73447,23,22.6,23.3
Percent aged 65 and over,2019,Sullivan,1761,6066,29,27.7,30.4
Percent aged 65 and over,2019,Susquehanna,9795,40328,24.3,23.8,24.8
Percent aged 65 and over,2019,Tioga,9155,40591,22.6,22.1,23
Percent aged 65 and over,2019,Union,8341,44923,18.6,18.2,19
Percent aged 65 and over,2019,Venango,11701,50668,23.1,22.7,23.5
Percent aged 65 and over,2019,Warren,9216,39191,23.5,23,24
Percent aged 65 and over,2019,Washington,43541,206865,21,20.9,21.2
Percent aged 65 and over,2019,Wayne,12623,51361,24.6,24.1,25
Percent aged 65 and over,2019,Westmoreland,81263,348899,23.3,23.1,23.5
Percent aged 65 and over,2019,Wyoming,5862,26794,21.9,21.3,22.4
Percent aged 65 and over,2019,York,80627,449058,18,17.8,18.1
Percent aged 65 and over,2019,Pennsylvania,2393362,12801989,18.7,18.7,18.7
Percent white,2019,Adams,NA,103009,NA,NA,NA
Percent black,2019,Adams,NA,103009,NA,NA,NA
Percent asian/pacific islander,2019,Adams,NA,103009,NA,NA,NA
Percent hispanic,2019,Adams,NA,103009,NA,NA,NA
Percent white,2019,Allegheny,971169,1216045,79.9,79.7,80
Percent black,2019,Allegheny,163394,1216045,13.4,13.4,13.5
Percent asian/pacific islander,2019,Allegheny,51552,1216045,4.2,4.2,4.3
Percent hispanic,2019,Allegheny,NA,1216045,NA,NA,NA
Percent white,2019,Armstrong,NA,64735,NA,NA,NA
Percent black,2019,Armstrong,NA,64735,NA,NA,NA
Percent asian/pacific islander,2019,Armstrong,NA,64735,NA,NA,NA
Percent hispanic,2019,Armstrong,NA,64735,NA,NA,NA
Percent white,2019,Beaver,NA,163929,NA,NA,NA
Percent black,2019,Beaver,NA,163929,NA,NA,NA
Percent asian/pacific islander,2019,Beaver,NA,163929,NA,NA,NA
Percent hispanic,2019,Beaver,NA,163929,NA,NA,NA
Percent white,2019,Bedford,NA,47888,NA,NA,NA
Percent black,2019,Bedford,NA,47888,NA,NA,NA
Percent asian/pacific islander,2019,Bedford,NA,47888,NA,NA,NA
Percent hispanic,2019,Bedford,NA,47888,NA,NA,NA
Percent white,2019,Berks,365995,421164,86.9,86.6,87.2
Percent black,2019,Berks,31003,421164,7.4,7.3,7.4
Percent asian/pacific islander,2019,Berks,NA,421164,NA,NA,NA
Percent hispanic,2019,Berks,94556,421164,22.5,22.3,22.6
Percent white,2019,Blair,NA,121829,NA,NA,NA
Percent black,2019,Blair,NA,121829,NA,NA,NA
Percent asian/pacific islander,2019,Blair,NA,121829,NA,NA,NA
Percent hispanic,2019,Blair,NA,121829,NA,NA,NA
Percent white,2019,Bradford,NA,60323,NA,NA,NA
Percent black,2019,Bradford,NA,60323,NA,NA,NA
Percent asian/pacific islander,2019,Bradford,NA,60323,NA,NA,NA
Percent hispanic,2019,Bradford,NA,60323,NA,NA,NA
Percent white,2019,Bucks,553569,628270,88.1,87.9,88.3
Percent black,2019,Bucks,28181,628270,4.5,4.4,4.5
Percent asian/pacific islander,2019,Bucks,33352,628270,5.3,5.3,5.4
Percent hispanic,2019,Bucks,35660,628270,5.7,5.6,5.7
Percent white,2019,Butler,NA,187853,NA,NA,NA
Percent black,2019,Butler,NA,187853,NA,NA,NA
Percent asian/pacific islander,2019,Butler,NA,187853,NA,NA,NA
Percent hispanic,2019,Butler,NA,187853,NA,NA,NA
Percent white,2019,Cambria,NA,130192,NA,NA,NA
Percent black,2019,Cambria,NA,130192,NA,NA,NA
Percent asian/pacific islander,2019,Cambria,NA,130192,NA,NA,NA
Percent hispanic,2019,Cambria,NA,130192,NA,NA,NA
Percent white,2019,Cameron,NA,4447,NA,NA,NA
Percent black,2019,Cameron,NA,4447,NA,NA,NA
Percent asian/pacific islander,2019,Cameron,NA,4447,NA,NA,NA
Percent hispanic,2019,Cameron,NA,4447,NA,NA,NA
Percent white,2019,Carbon,NA,64182,NA,NA,NA
Percent black,2019,Carbon,NA,64182,NA,NA,NA
Percent asian/pacific islander,2019,Carbon,NA,64182,NA,NA,NA
Percent hispanic,2019,Carbon,NA,64182,NA,NA,NA
Percent white,2019,Centre,NA,162385,NA,NA,NA
Percent black,2019,Centre,NA,162385,NA,NA,NA
Percent asian/pacific islander,2019,Centre,NA,162385,NA,NA,NA
Percent hispanic,2019,Centre,NA,162385,NA,NA,NA
Percent white,2019,Chester,447638,524989,85.3,85,85.5
Percent black,2019,Chester,32730,524989,6.2,6.2,6.3
Percent asian/pacific islander,2019,Chester,NA,524989,NA,NA,NA
Percent hispanic,2019,Chester,40047,524989,7.6,7.6,7.7
Percent white,2019,Clarion,NA,38438,NA,NA,NA
Percent black,2019,Clarion,NA,38438,NA,NA,NA
Percent asian/pacific islander,2019,Clarion,NA,38438,NA,NA,NA
Percent hispanic,2019,Clarion,NA,38438,NA,NA,NA
Percent white,2019,Clearfield,NA,79255,NA,NA,NA
Percent black,2019,Clearfield,NA,79255,NA,NA,NA
Percent asian/pacific islander,2019,Clearfield,NA,79255,NA,NA,NA
Percent hispanic,2019,Clearfield,NA,79255,NA,NA,NA
Percent white,2019,Clinton,NA,38632,NA,NA,NA
Percent black,2019,Clinton,NA,38632,NA,NA,NA
Percent asian/pacific islander,2019,Clinton,NA,38632,NA,NA,NA
Percent hispanic,2019,Clinton,NA,38632,NA,NA,NA
Percent white,2019,Columbia,NA,64964,NA,NA,NA
Percent black,2019,Columbia,NA,64964,NA,NA,NA
Percent asian/pacific islander,2019,Columbia,NA,64964,NA,NA,NA
Percent hispanic,2019,Columbia,NA,64964,NA,NA,NA
Percent white,2019,Crawford,NA,84629,NA,NA,NA
Percent black,2019,Crawford,NA,84629,NA,NA,NA
Percent asian/pacific islander,2019,Crawford,NA,84629,NA,NA,NA
Percent hispanic,2019,Crawford,NA,84629,NA,NA,NA
Percent white,2019,Cumberland,NA,253370,NA,NA,NA
Percent black,2019,Cumberland,NA,253370,NA,NA,NA
Percent asian/pacific islander,2019,Cumberland,NA,253370,NA,NA,NA
Percent hispanic,2019,Cumberland,NA,253370,NA,NA,NA
